file,priority,rawInput,rawSelect,rawTextarea,inlineStyle,arbitraryZ,manualPalette,createPortal,rawTable,TextField,SelectField,TextareaField,SearchableSelectField,AppSearchField,ModalField,DialogShell,AppModal,DataTableShell,ManagementDirectoryTable
pages/Reports.tsx,P2,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0
pages/settings/Backups.tsx,P2,0,0,0,0,0,36,0,1,0,0,0,0,0,0,0,0,0,0
components/AppErrorBoundary.tsx,P2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
components/auth/AuthPageShell.tsx,P2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerLedgerPaymentModal.tsx,P2,0,0,0,0,0,35,0,0,0,0,1,0,0,3,0,0,0,0
components/reports/mlWorkbenchImportDashboard/MetadataImportShadowReadinessBridgePanel.tsx,P2,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
pages/dashboard/WidgetShell.tsx,P2,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/OverviewCardsSection.tsx,P2,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/mlOperator/MlOperatorDetailDrawer.tsx,P2,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0
pages/partnerDetail/PartnerEditProfileModal.tsx,P2,0,0,0,0,0,31,0,0,4,1,2,0,0,7,0,0,0,0
pages/partnerDetail/PartnerPhoneSettlementModal.tsx,P2,0,0,0,0,0,31,0,0,0,0,1,0,0,3,0,0,0,0
pages/reports/ProfitabilityReport.tsx,P2,0,0,0,0,0,31,0,1,0,1,0,0,1,0,0,0,1,0
components/reports/InvoiceAuditModal.tsx,P2,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
pages/reports/AnalysisHub.tsx,P2,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
components/StatCard.tsx,P2,0,0,0,1,0,28,0,0,0,0,0,0,0,0,0,0,0,0
components/reports/mlWorkbenchImportDashboard/MetadataImportSummaryCards.tsx,P2,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
components/profile/AvatarCropDialog.tsx,P2,1,0,0,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0
components/SmsAutoSendSheet.tsx,P2,0,0,0,0,0,26,0,0,0,0,0,0,0,0,1,0,0,0
pages/InvoiceDetail.tsx,P2,3,0,0,2,0,25,0,1,0,0,1,0,0,0,0,0,0,0
