file,category,domain,bytes,kb,lines,selectors,important_count,css_import_count,import_order,risk_score,risk_level,risk_reasons
styles/runtime-overrides/09b-telegram-control-center-monitoring.css,runtime-override,Telegram,38268,37.37,1229,176,536,0,143,14,critical,runtime override imported after index.css; very high !important count; large selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/09c-telegram-template-center-cards.css,runtime-override,Telegram,36190,35.34,1108,163,540,0,144,14,critical,runtime override imported after index.css; very high !important count; large selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/09d1-telegram-studio-filter-controls.css,runtime-override,"Telegram, Filters",8830,8.62,286,45,139,0,145,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d2-telegram-studio-search-empty-states.css,runtime-override,Telegram,7161,6.99,191,31,108,0,146,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d3-telegram-monitor-title-value-layout.css,runtime-override,Telegram,2432,2.38,82,10,45,0,147,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d4-telegram-studio-cleanup-mini-cards.css,runtime-override,Telegram,2944,2.88,90,14,55,0,148,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d5-telegram-lower-stat-cards.css,runtime-override,Telegram,3133,3.06,107,12,69,0,149,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d6-telegram-lower-mini-cards-search.css,runtime-override,Telegram,3214,3.14,109,11,76,0,150,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d7-telegram-monitor-card-standard.css,runtime-override,Telegram,3600,3.52,116,14,73,0,151,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d8-telegram-monitor-size-placement-contract.css,runtime-override,Telegram,7591,7.41,250,24,165,0,152,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09d9-telegram-monitor-anchoring-hotfixes.css,runtime-override,Telegram,11206,10.94,336,35,169,0,153,10,high,runtime override imported after index.css; very high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/09e-telegram-accordion-logs-modals.css,runtime-override,"Telegram, Modals",31871,31.12,1167,240,50,0,154,13,critical,runtime override imported after index.css; high !important count; large selector surface; sensitive UI/business domain; medium file >25KB; active imported CSS
styles/runtime-overrides/10a-installments-phone-edit-overrides.css,runtime-override,Mobile Phones,2995,2.92,74,11,18,0,155,7,medium,runtime override imported after index.css; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/10b-finance-tables-density-system.css,runtime-override,Tables,17177,16.77,426,62,179,0,156,10,high,runtime override imported after index.css; very high !important count; medium selector surface; active imported CSS
styles/runtime-overrides/10c-people-filters-mobile-cards.css,runtime-override,"People, Filters",7100,6.93,279,35,38,0,157,7,medium,runtime override imported after index.css; high !important count; active imported CSS
styles/runtime-overrides/10d-financial-status-badges.css,runtime-override,General/System,430,0.42,23,4,0,0,158,5,medium,runtime override imported after index.css; active imported CSS
styles/runtime-overrides/10e-header-final-polish.css,runtime-override,Header,2013,1.97,78,12,34,0,159,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/10f-sidebar-final-polish.css,runtime-override,Sidebar,4361,4.26,151,24,49,0,160,9,high,runtime override imported after index.css; high !important count; sensitive UI/business domain; active imported CSS
styles/runtime-overrides/10g-layout-shell-final-qa.css,runtime-override,General/System,2294,2.24,103,16,20,0,161,5,medium,runtime override imported after index.css; active imported CSS
styles/global.css,other,General/System,2927,2.86,90,13,11,0,,0,low,
